,allInPings,assistMePings,assists,baronKills,bountyLevel,champExperience,champLevel,championName,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
41,0,1,9,0,0,13446,15,Smolder,2,5,234,8803,234,12657,9,4,0,0,4,0,False,False,False,False,False,False,12021,11775,BOTTOM,0,0,3,1055,1037,3158,6675,3071,3508,3363,20,1,5,MIDDLE,494,2,1,290,19813,5754,10032,0,1,0,1,0,0,0,17,160047,22359,13972,0,0,DUO,195,51,28,9,False,100,BOTTOM,9,1949,0,189220,29904,0,24536,0,4201,0,229,166,182,1,0,9359,1790,532,0,0,10,21,4,2,12,False
42,0,0,1,0,0,11131,13,Vayne,2,4,2732,7636,2732,8209,6,2,1,0,8,0,False,False,False,False,False,True,12506,11925,BOTTOM,0,0,0,3091,2055,3006,6672,2019,3153,3363,24,3,9,BOTTOM,369,4,2,563,4196,267,9193,0,12,0,0,0,0,0,6,93859,15305,6956,0,0,CARRY,78,0,8,7,False,100,BOTTOM,6,1669,10,108728,19694,0,16788,0,4702,0,183,35,140,1,0,10672,4121,638,1,1,4,19,3,1,11,False
43,0,1,4,0,2,13455,15,Twitch,1,6,1123,15309,1123,14244,4,5,2,2,8,0,False,False,False,False,False,False,15530,13375,BOTTOM,0,0,2,3036,3140,3085,3153,2019,3006,3363,23,3,15,BOTTOM,440,8,2,1088,15684,2846,9946,0,24,0,1,0,0,0,14,155253,36391,13889,0,0,CARRY,34,32,38,8,False,100,BOTTOM,18,1932,12,200406,44648,0,24527,0,8509,0,207,458,166,1,0,29469,5410,691,1,1,10,43,5,3,13,False
44,0,0,17,0,6,22865,18,Caitlyn,0,5,2944,5952,2944,23082,6,2,2,0,4,0,False,False,False,False,False,False,22163,18525,BOTTOM,0,0,5,3031,3748,3006,6610,6676,3072,3363,27,3,16,BOTTOM,1773,6,2,1040,1394,1394,12982,0,8,0,1,0,0,0,8,335970,51288,27313,0,0,CARRY,69,40,26,8,False,200,BOTTOM,32,2288,8,352823,53912,0,44329,0,17855,711,304,159,233,3,0,15458,1229,4034,1,1,11,25,3,2,10,False
45,0,0,2,0,0,12687,14,Chogath,0,3,1190,3694,1190,39665,5,2,0,0,4,0,False,False,False,False,False,False,9875,8950,TOP,0,0,2,1054,3068,3047,1031,3110,1057,3363,18,1,6,TOP,0,3,1,792,58571,9845,12454,0,8,0,1,0,0,0,3,24732,2101,13094,0,0,SOLO,56,43,52,8,False,200,TOP,85,1692,0,91904,13733,0,26567,4,3931,0,153,2044,199,1,0,8600,1786,1018,0,0,10,12,2,2,8,False
46,0,0,7,0,0,18307,17,Sion,2,6,3808,3808,3808,90499,11,5,0,0,19,0,False,False,False,False,False,False,13366,12075,TOP,0,0,2,3110,3748,3047,3068,3076,1057,3363,25,0,4,TOP,4,0,1,398,41912,7431,13927,0,0,0,1,0,0,0,8,121888,11571,30094,0,0,SOLO,59,42,44,11,False,100,TOP,25,2192,0,171005,19684,0,54989,0,10955,0,225,796,432,1,0,7204,681,10967,1,1,9,29,5,3,12,False
47,0,0,3,0,0,10101,13,Galio,0,5,0,272,0,17576,11,2,0,0,4,0,False,False,False,False,False,True,7259,7125,MIDDLE,0,0,2,1056,6657,3047,3068,2055,0,3340,19,0,1,MIDDLE,0,0,1,251,69937,9511,6726,0,0,0,0,0,0,0,15,6050,445,20864,0,0,SOLO,50,15,20,4,False,100,MIDDLE,23,1498,0,80583,9956,538,28728,0,1291,0,124,61,202,1,0,4595,0,1138,0,0,10,13,3,0,7,False
48,0,0,2,0,0,9123,12,TahmKench,0,2,0,239,0,17292,2,1,0,0,10,1,False,False,False,False,False,True,6157,5875,TOP,0,0,1,1054,3076,3047,6664,1029,1029,3340,15,1,2,NONE,4,2,1,968,32385,6995,1396,0,2,0,0,0,0,0,1,16826,1835,11617,0,0,SUPPORT,43,12,10,7,False,100,TOP,18,1133,0,49470,9089,0,13728,0,2447,0,126,108,35,1,0,258,258,714,0,0,5,15,1,0,6,False
49,0,1,15,0,2,17704,17,Malphite,3,3,3014,11267,3014,64326,2,2,1,0,8,1,False,False,False,False,False,False,14355,11650,TOP,0,1,0,1057,6665,3111,3068,3110,3076,3363,20,2,9,TOP,0,7,2,1428,92563,13357,7845,0,4,0,0,1,0,0,15,65116,6816,10204,0,0,SOLO,67,65,73,9,False,200,TOP,32,2094,0,179297,20987,0,19426,0,3735,0,223,1035,60,1,0,21617,813,1376,1,6,4,25,2,1,10,True
50,0,1,10,0,7,15264,16,Ornn,1,4,6863,15232,6863,42802,0,3,0,0,6,1,False,False,False,False,False,False,12126,10825,TOP,0,1,0,1054,6664,7026,2502,3082,1001,3363,19,1,7,TOP,0,7,1,0,62663,8218,12654,0,4,0,0,1,0,0,4,64488,4684,12055,0,0,SOLO,80,53,16,12,False,200,TOP,29,1704,0,135355,13280,0,25717,0,7071,0,195,473,0,1,0,8203,378,1007,1,5,1,29,3,6,10,True
51,0,1,6,0,3,16695,17,Ornn,2,4,3746,8628,3746,41245,4,3,1,0,4,0,False,False,False,False,False,True,12235,11725,TOP,0,1,0,3082,6664,3110,7026,3076,1011,3363,26,2,6,TOP,4,3,2,805,36231,5773,9781,0,0,0,0,0,0,0,14,76131,6784,10285,3,0,SOLO,92,48,22,18,False,200,TOP,35,1931,0,131962,12648,0,21090,0,3434,0,187,1917,90,1,0,19599,90,1022,2,2,3,24,3,0,11,True
